name,measurement_unit
Диоксид титана,г
Долма,г
Дорада,г
Дорада потрошеная с головой,г
Дорада с головой,г
Дорада тушка,г
Драже,г
Дрожжи домашние,г
Дрожжи свежие,г
Дрожжи сухие,г
Дубовая кора,г
Душица,г
Дыня,г
Ежевика,г
Ежевика замороженная,г
Ёрш,г
Ёрш-носарь,г
Желатин,г
Желатин листовой,г
Желе,г
Желе для торта,г
Желирующее вещество,г
Желирующий сахар,г
Женьшень,г
Жидкий дым,мл
Жимолость,г
Жир,г
Жир вытопленный,г
Жир кулинарный,г
Жир растительный,г
Заатар,г
Завтрак сухой,г
Завтрак сухой подушечки,г
Загуститель для сливок,г
Зайчатина,г
Закваска,г
Закваска вечная,г
Заменитель сахара,г
Заменитель сахара стевия,г
Заправка для салатов готовая,г
Зверобой,г
Зелень,г
Зелень рубленая,г
Земляника,г
Земляника замороженная,г
Зефир,г
Зира,г
Злаковые хлопья,г
Зубатка,г
Зубатка филе,г
Изолят соевого протеина,г
Изюм,г
Изюм без косточек,г
Изюм белый,г
Изюм черный,г
Икра,г
Икра вяленой рыбы,г
Икра горбуши зернистая,г
Икра красная,г
Икра красной рыбы мелкая,г
Икра летучей рыбы,г
Икра лосося,г
Икра мойвы,г
Икра палтуса,г
Икра судака,г
Икра черная,г
Имбирное варенье,г
Имбирное печенье,г
Имбирные цукаты,г
Имбирь,г
Имбирь засахаренный,г
Имбирь корень,г
Имбирь маринованный,г
Имбирь молотый,г
Индейка,г
Индейка голень,г
Индейка грудка,г
Индейка копченая,г
Индейка тушка,шт.
Индейка фарш,г
Индейка филе,г
Индоутка,шт.
Индюшачья печень,г
Инжир,г
Инжир свежий,г
Инжир сушеный,г
Ирга,г
Ириски,г
Итальянские травы,г
Йогурт,г
Йогурт греческий,г
Йогурт жирный,г
Йогурт козий,г
Йогурт натуральный,г
Йогурт нежирный,г
Йогурт обезжиренный,г
Йогурт фруктовый,г
Кабачки,г
Кабачки замороженные,г
Кабачки молодые,г
Каджунская смесь специй,г
Какао,г
Какао-бобы,г
Какао-масло,г
Какао-порошок,г
Какао-порошок обезжиренный,г
Какао сгущенное,г
Калина,г
Калина протертая,г
Калинджи семена,ч. л.
Кальвадос,г
Кальмары,г
Кальмары вареные,г
Кальмары замороженные,г
Кальмары консервированные,г
Кальмары филе,г
Камамбер,г
Камбала,г
Камбала филе,г
Кампари,мл
Кандурин золотой,ч. л.
Каннеллони,г
Капеллини,г
Каперсы,г
Каперсы в винном уксусе,г
Каперсы маринованные,г
Капуста белокочанная,г
Капуста брюссельская,г
Капуста брюссельская замороженная,г
Капуста кале,г
Капуста квашеная,г
Капуста кольраби,г
Капуста краснокочанная,г
Капуста морская,г
Капуста морская замороженная,г
Капуста морская сушеная,г
Капуста пекинская,г
Капуста савойская,г
Капуста цветная,г
Капуста цветная замороженная,г
Капустный рассол,г
Капучино,г
Каракатица,г
Каракатица очищенная,г
Карамбола,г
Карамель,г
Карамельный соус,г
Карамель с начинкой,г
Карамель соленая,г
Карась,г
Карбонад,г
Кардамон,г
Кардамон зерна,г
Кардамон молотый,г
Кардамон стручки,г
Каркаде,г
Карп,г
Карп зеркальный,г
Карп филе,г
Карри,г
Карри листья,г
Карри паста,г
Картофель,г
Картофель вареный,г
Картофель вареный в мундире,г
Картофель молодой,г
Картофельное пюре,г
Картофельные ньокки,г
Картофельные хлопья,г
Картофельные чипсы,г
Картофельный крахмал,г
Картофельный отвар,г
Картофельный хэш замороженный,г
Картофель печеный,г
Катык,г
Каффир-лайм листья,г
Каша,г
Каша для детского питания,г
Каштановая мука,г
Каштановый крем,г
Каштаны,г
Каштаны вареные,г
Каштаны консервированные,г
Каштаны очищенные,г
Квас,г
Квасное сусло,г
Квасной концентрат сухой,г
Квас хлебный,г
Кедровая мука,г
Кедровые орехи,г
Кедровые орехи жареные,г
Кета,г
Кетчуп острый,г
Кетчуп томатный,г
Кетчуп тосканский,г
Кетчуп шашлычный,г
Кефаль,г
Кефир,мл
Кефир 1%,мл
"кефир 2,5%",мл
"кефир 3,2%",мл
Кефир обезжиренный,мл
Кешью,г
Кивано,г
Киви,г
Киви желе,г
Кижуч,г
Кижуч горячего копчения филе,г
Кизил,г
Килька,г
Кимчи,г
Кинза свежая,г
Кинза сушеная,г
Киноа,г
Киноа молотая,г
Кипяток,мл
Кирш,г
Кисель,г
Кисель сухой,г
Кисломолочный напиток Тан,мл
Кишки,г
Клейковина,г
Клементины,г
Кленовый сироп,мл
Клубника,г
Клубника в сиропе,г
Клубника замороженная,г
"клубника, протертая с сахаром",г
Клубника сушеная,г
Клубничное варенье,г
Клубничное желе,г
Клубничное пюре,г
Клубничный джем,г
Клубничный джем густой,г
Клубничный компот,мл
Клубничный ликер,мл
Клубничный сироп,мл
Клюква,г
Клюква вяленая,г
Клюква замороженная,г
"клюква, протертая с сахаром",г
Клюквенное варенье,г
Клюквенный джем,г
Клюквенный морс,мл
Клюквенный сироп,мл
Клюквенный соус,г
Козлиная печень,г
Козлятина молодая,г
Кока-кола,мл
Кокосовая вода,мл
Кокосовая мука,г
Кокосовая стружка,г
Кокосовая стружка цветная,г
Кокосовое масло,мл
Кокосовое молоко,мл
Кокосовые сливки,мл
Кокосовый ликер,мл
Кокосовый экстракт,мл
Кокосы,г
Кола,мл
Колбаса,г
Колбаса вареная,г
Колбаса варено-копченая,г
Колбаса копченая,г
Колбаса кровяная,г
Колбаса полукопченая,г
Колбаса сырокопченая,г
Колбаска свиная свежая (salsiccia),г
Колбаски,г
Колбаски для жарки,г
Колбаски домашние,г
Колбаски охотничьи,г
Колбаски сырокопченые,г
Компот,г
Конопляное масло,мл
Конопля семена,г
Конфеты,г
Конфеты M&M’s,г
Конфеты жевательные лакричные,г
Конфеты Коровка,г
Конфеты Трюфель,г
Конфитюр,г
Конфитюрка,г
Коньяк,мл
Копчености,г
Коренья,г
Кориандр,г
Кориандр зелень,г
Кориандр молотый,г
Кориандр семена,г
Коринка,г
Корица,г
Корица молотая,г
Корнишоны,г
Корнишоны маринованые,г
Корюшка,г
Корюшка горячего копчения,г
Кости,г
Кости мозговые,г
Кость сахарная,г
Кофе в зернах,г
Кофе зеленый,г
Кофейные зерна в шоколаде,г
Кофейный ликер,мл
Кофейный ликер Kahlua,мл
Кофейный напиток,мл
Кофейный сироп,мл
Кофейный экстракт,мл
Кофе молотый,г
Кофе растворимый,г
Кофе свежесваренный,мл
Кофе черный,мл
Кофе эспрессо,мл
Крабовое мясо,г
Крабовые палочки,г
Краб снежный,г
Крабы,г
Крапива,г
Краситель-гель пищевой,г
Краситель пищевой,г
Краситель пищевой вишневый,г
Краситель пищевой желтый,г
Краситель пищевой зеленый,г
Краситель пищевой красный,г
Краситель пищевой оранжевый,г
Краситель пищевой фиолетовый,г
Краситель пищевой черный,г
Красная смородина,г
"красная смородина, протертая с сахаром",г
Красноперка,г
Красносмородиновое варенье,г
Красный винный соус,г
Крахмал,г
Креветки,г
Креветки замороженные,г
Креветки королевские,г
Креветки очищенные,г
Креветки очищенные в рассоле,г
Креветки салатные,г
Креветки сушеные,г
Креветки тигровые,г
Крекер,г
Крекер соленый,г
Крем заварной,г
Крем заварной порошковый,г
Крем-фреш,г
Кресс-салат,г
Кровь,мл
Кролик,г
Кролик тушка,г
Кролик филе,г
Кроличья печень,г
Круассаны,шт.
Крутоны мелкие,г
Крыжовник,г
Крыжовниковое варенье,г
Кукуруза,г
Кукуруза замороженная,г
Кукуруза консервированная,г
Кукуруза обжаренная кикос,г
Кукурузная крупа,г
Кукурузная мука,г
Кукурузное масло,г
Кукурузные лепешки,шт.
Кукурузные палочки,г
Кукурузные хлопья,г
Кукурузные хлопья глазированные,г
Кукурузные чипсы,г
Кукурузный (золотой) сироп,мл
Кукурузный крахмал,г
Кумин,г
Кумкваты,г
Кунжут,г
Кунжутная мука,г
Кунжутная паста,г
Кунжутное масло,г
Кунжутные семечки,г
Кунжут черный,г
Купаты,шт.
Курага,г
Курдючное сало,г
Курдючный жир,г
Куриная ветчина,г
Куриная кожа,г
Куриная печень,г
Куриное карпаччо,г
Куриное филе,г
Куриные бедра,г
Куриные голени,г
Куриные голени копченые,шт.
Куриные грудки,г
Куриные грудки вареные,г
Куриные грудки копченые,г
Куриные желудочки,г
Куриные кости,г
Куриные крылья,г
Куриные окорочка,г
Куриные окорочка копченые,г
Куриные потрошки,г
Куриные сердечки,г
Куриный бульон,мл
Куриный паштет,г
Куриный суповой набор,г
Куриный фарш,г
Курица,г
Курица вареная,г
Курица для жарки,г
Курица копченая,г
Курица тушка,г
Куркума,г
Куропатки,г
Кускус,г
Кускус жемчужный,стакан
Кэроб,г
Лаванда,г
Лаванда сушеная,щепотка
Лавандовый краситель,ч. л.
Лаваш,г
Лаваш армянский,г
Лаваш персидский круглый,г
Лаваш тонкий,г
Лавровые листья свежие,шт.
Лавровый лист,г
Лайм,г
Лайм листья,шт.
Лаймовая цедра,г
Лаймовый сок,мл
Лангустины,шт.
Лапша,г
Лапша для лагмана,г
Лапша ширатаки,г
Лапша яичная в гнездах,г
Латук,г
Легкие,г
Лед,г
Леди-фиш тушка,г
Лемонграсс (лимонное сорго),г
Лен семена,г
Лепешки,г
Лепешки арабские,шт.
Лесные орехи,г
Лечо,г
Ливер,г
Ликер,мл
Ликер Alchermes,мл
Ликер Amaretto,мл
Ликер Baileys,мл
Ликер Cointreau,мл
Ликер кремовый,мл
Ликер сливочный,мл
Лимонад,мл
Лимонная кислота,мл
Лимонная цедра,г
Лимонник стебель,г
Лимонник ягоды,г
Лимонные корочки засахаренные,г
Лимонные цукаты,г
Лимонный сок,мл
Лимонный уксус,мл
Лимонный экстракт,мл
Лимончелло,г
Лимоны,г
Лингвине,шт.
Лисички,г
Лисички сушеные,г
Личи,шт.
Личи компот,мл
Лобстер,г
Лонган,г
Лонгконг,шт.
Лососевые молоки,г
Лососевый фарш,г
Лосось,г
Лосось горячего копчения,г
Лосось копченый,г
Лосось свежесоленый,г
Лосось свежий,г
Лосось свежий филе,г
Лосось слабосоленый,г
Лосось стейки,г
Лосось филе,г
Лосось филе на коже,г
Лосось холодного копчения,г
Лосятина,г
Лук белый,г
Лук зеленый,г
Лук красный,г
Лук маринованный,г
Луковая шелуха,г
Луковый порошок,г
Лук-порей,горсть
Лук-резанец,г
Лук репчатый,г
Лук репчатый мелкий,г
Лук салатный,г
Лук сушеный,г
Лук-шалот,г
Лук-шалот красный,г
Льняная мука,г
Льняное масло,мл
Льняное семя,г
Льняное семя молотое,г
Любисток,г
Маасдам,г
Мадера,г
Майонез,г
Майонез домашний,г
Майонез легкий,г
Майонезный соус «Слобода» Постный,г
Майонез оливковый,г
Майонез «Слобода» Легкий,г
Майонез «Слобода» На перепелиных яйцах,г
Майонез «Слобода» Оливковый,г
Майонез «Слобода» Провансаль,г
Майонез «Слобода» С лимонным соком,г
Майонез «Слобода» Сметанный,г
Майоран,г
Майоран свежий,г
Майоран сушеный,г
Мак,г
Макаронные изделия,г
Макаронные изделия мелкие,г
Макароны,г
Макароны-бабочки (farfalle),г
Макароны-бабочки (farfalle) мини,г
Макароны баветте,г
Макароны-бантики,г
Макароны букатини,г
Макароны джильи,г
Макароны диталони,г
Макароны-звездочки,г
Макароны орзо,г
Макароны-ракушки (conchiglie),г
Макароны-ракушки (conchiglie rigate),г
Макароны-ракушки крупные,г
Макароны рисони,г
Макароны-рожки (pipe rigate),г
Макароны-спиральки (fusilli),г
Макароны-ушки (orecchiette),г
Маккерончини,г
Мак молотый,г
Маковая масса,г
Малина,г
Малина замороженная,г
"малина, протертая с сахаром",г
Малина сушеная,г
Малиновое варенье,г
Малиновое желе,г
Малиновое пюре,г
Малиновый джем,г
Малиновый крем,г
Малиновый сироп,мл
Малиновый соус,г
Малиновый уксус,мл
Малиновый чай,г
Манго,г
Манговый сироп,мл
Манго консервированное,г
Мангольд,г
Мангустин,г
Мандариновое пюре,г
Мандариновые цукаты,г
Мандариновый сок,мл
Мандарины,г
Мандарины в собственном соку,г
Манная крупа,г
Маракуйя,г
Маргарин,г
Маргарин сливочный,г
Мармелад,г
Мармелад бутербродный,г
Марсала,г
Мартини,мл
Мартини красный,мл
Марципан,г
Марципан зеленый,г
Марципан розовый,г
Маршмеллоу,г
Маршмеллоу крем,г
Маршмеллоу мини,г
Маскарпоне,г
Маслины,г
Маслины без косточек,г
Масло авокадо,мл
Масло виноградных косточек,мл
Масло грецкого ореха,мл
Масло для фритюра,мл
Масло кедрового ореха,мл
Маслята,г
Мастика,г
Мастика желатиновая,г
Мастика шоколадная,г
Матча,г
Мафальдине,г
Маца,г
Мацони,г
Маш,г
Мед,г
Мед акации,г
Мед гречишный,г
Мед жидкий,г
Мед лавандовый,г
Мелисса,г
Меренги,г
Мидии,г
Мидии в раковинах,г
Мидии в раковинах крупные черные,г
Мидии в раковинах мелкие зеленые,г
Мидии замороженные,г
Мидии копченые в масле,г
Микрозелень,г
Миндаль,г
Миндаль жареный,г
Миндаль измельченный,г
Миндальная масса,г
Миндальная мука,г
Миндальная паста,г
Миндальная эссенция,г
Миндальное масло,г
Миндальное молоко,мл
Миндальное печенье,г
Миндальное пралине,г
Миндальные лепестки,г
Миндальный ликер,мл
Миндальный сироп,мл
Миндальный экстракт,мл
Миндаль очищенный,г
Миндаль рубленый,г
Мини-кукуруза,г
Минога,г
Минтай,г
Минтай печень,г
Минтай филе,г
Мисо-паста,г
Мисо-суп,мл
Можжевельник ягоды,г
Мойва,г
Моллюски,г
Молоко,мл
"молоко 0,5%",мл
"молоко 1,5%",мл
"молоко 2,5%",мл
"молоко 3,2%",мл
"молоко 3,6%",мл
Молоко 4%,мл
Молоко 6%,мл
Молоко козье,мл
Молоко концентрированное,мл
Молоко рисовое,мл
Молоко сгущенное,г
Молоко сгущенное вареное,г
Молоко сгущенное с какао,г
Молоко сухое,г
Молоко сухое обезжиренное,г
Молоко топленое,мл
Молочная смесь,г
Молочные продукты,г
Морепродукты,г
Морковное пюре,г
Морковь,г
Морковь вареная,г
Морковь крупная,г
Морковь молодая,г
Морковь по-корейски,г
Морковь тертая,г
Мороженое,г
Мороженое ванильное,г
Мороженое клубничное,г
Мороженое лимонное,г
Мороженое малиновое,г
Мороженое пломбир,г
Мороженое шоколадное,г
Морошка,г
Морские гребешки,г
Морской коктейль,г
Морской коктейль в масле,г
Морской коктейль замороженный,г
Морской черт,г
Морской язык,г
Морской язык филе,г
Мортаделла,г
Моцарелла,г
Моцарелла для запекания,г
Моцарелла для пиццы,г
Моцарелла мини,г
Моцарелла с травами,г
Моцарелла шарик большой,г
Мука,г
Мука 1 сорт,г
Мука 2 сорт,г
Мука «Аладушкин»,г
Мука грубого помола,г
Мука для темпуры,г
Мука из пророщенной пшеницы,г
Мука манитоба,г
Мука самоподнимающаяся,г
Мука с отрубями,г
Мука с семечками,г
Мука хлебопекарная,г
Мука цельнозерновая,г
Мускат белый,мл
Мускатное вино,мл
Мускатный орех,г
Мускатный орех молотый,г
Мюсли,г
Мягкий творог,г
Мясной бульон,мл
Мясной фарш,г
Мясо,г
Мясо дикого кабана,г
Мясо криля,г
Мясо на косточке,г
Мята,г
Мята сушеная,г
Мятный сироп,мл
Мятный шнапс,мл
Нардек,г
Нектарины,г
Нога ягненка без кости,г
Нори,г
Нуга,г
Нуга с орехами,г
Нут,г
Нутелла,г
Нут консервированный,г
Нутовая мука,г
Облепиха,г
Облепиха замороженная,г
Облепиховый сироп,мл
Овощи,г
Овощная смесь,г
Овощная смесь замороженная,г
Овощная смесь замороженная для wok,г
Овощная смесь по-китайски,г
Овощной бульон,мл
Овсяная мука,г
Овсяное молоко,мл
Овсяное печенье,г
Овсяное толокно,г
Овсяные зерна,г
Овсяные отруби,г
Овсяные хлопья,г
Овсяные хлопья быстрого приготовления,г
Огуречный рассол,мл
Огурцы,г
Огурцы консервированные,г
Огурцы малосольные,г
Огурцы маринованные,г
Огурцы свежие,г
Огурцы соленые,г
Одуванчики,г
Окорок,г
Окорок варено-копченый,г
Окунь,г
Окунь красный филе,г
Окунь морской,г
Окунь морской филе,г
Окунь филе,г
Оленина,г
Оливки,г
Оливки без косточек,г
Оливки зеленые,г
Оливки зеленые консервированные,банка
Оливки каламата,г
Оливки консервированные,г
"оливки, фаршированные анчоусами",г
Оливки черные,г
Оливковая паста,г
Оливковое масло,г
Оливковое масло Extra Virgin,г
Опунция плоды,г
Опята,г
Опята замороженные,г
Опята маринованные,г
Орегано,г
Орегано свежий,г
Орегано сушеный,г
Орехи,г
Орехи бразильские,г
Орехи макадамия,г
Орехи пекан,г
Орехи пинии,г
Ореховая крошка,г
Ореховая паста,г
Ореховое масло,мл
Ореховый ликер,мл
Ореховый соус,г
Осетр,г
Осетрина холодного копчения,г
Осьминог,г
Осьминоги консервированные,г
Осьминоги мини,г
Отруби,г
Ошеек,г
Пагр,г
Пажитник,г
Пажитник семена,г
Палтус,г
Пальмовое масло,мл
Пангасиус,г
Панеттоне,г
Панифарин,г
Панчетта,г
Папайя,г
Папайя консервированная в собственном соку,г
Папоротник,г
Папоротник соленый,г
Паппарделле,г
Паприка,г
Паприка копченая,г
Паприка красная,г
Паприка красная молотая,г
Паприка острая копченая,г
Паприка сладкая,г
Паприка сладкая копченая,г
Паприка сладкая хлопьями,г
Пармезан,г
Паста,г
Паста веджимайт,г
Паста тахини,г
Паста хариса,г
Пастернак,г
Пастила,г
Пастила виноградная,г
Патиссоны,г
Патока,г
Патока крахмальная,г
Патока черная (меласса),г
Пахта,г
Паштет,г
Пекарский порошок,г
Пекорино,г
Пектин,г
Пеленгас,г
Пельмени,г
Пенне,г
Пенне ригате,г
Пеперончино,г
Пеперончино молотый,г
Переводной лист для шоколада,шт.
Перепелки,г
Перец,г
Перец белый,г
Перец белый горошком,г
Перец белый молотый,г
Перец белый свежемолотый,ч. л.
Перец болгарский,г
Перец болгарский желтый,г
Перец болгарский зеленый,г
Перец болгарский красный,г
Перец горошком,г
Перец горошком смесь,г
Перец душистый,г
Перец душистый горошком,г
Перец душистый молотый,г
Перец испанский острый,г
Перец кайенский,г
Перец кайенский красный,г
Перец кайенский молотый,г
Перец красный,г
Перец красный горошком,г
Перец красный жгучий,г
Перец красный молотый,г
Перец красный острый,г
Перец красный острый молотый,г
Перец красный хлопьями,г
Перец лимонный,г
Перец маринованный,г
Перец острый,г
Перец острый зеленый,г
Перец острый молотый,г
Перец падрон,г
Перец пеперони,г
Перец пеперони красный,г
Перец розовый горошком,г
Перец свежемолотый смесь,г
Перец сенегальский,г
Перец сладкий,г
Перец сладкий желтый,г
Перец сладкий зеленый,г
Перец сладкий красный,г
Перец сладкий красный маринованный,г
Перец сладкий красный молотый,г
Перец сладкий оранжевый,г
Перец сладкий сушеный,г
Перец сычуаньский,г
Перец халапеньо,г
Перец халапеньо маринованный,г
Перец черный,г
Перец черный горошком,г
Перец черный молотый,г
Перец черный свежемолотый,г
Перец чили,г
Перец чили зеленый,г
Перец чили красный,г
Перец чили маринованный,г
Перец чили молотый,г
Перец чили сухой,г
Перец чили хлопьями,г
Перец ямайский,г
Перловая крупа,г
Перловая мука,г
Персики,г
Персики консервированные,г
Персики сушеные,горсть
Персиковое пюре,г
Персиковый джем,г
Персиковый мармелад,г
Персиковый сироп,мл
Персиковый сок,мл
Перцовая паста,г
Петрушка,г
Петрушка зелень,г
Петрушка итальянская,г
Петрушка корень,г
